family,n_features,mean_drop,sd_drop,baseline
ch,3000,0.569943820224719,0.013858310543307871,0.7949438202247191
pos,800,0.026685393258426983,0.004166403644435776,0.7949438202247191
fw,379,0.008426966292134842,0.0015385465098459658,0.7949438202247191
st,29,0.00786516853932584,0.0026049490155886884,0.7949438202247191
