,silhouette_author,silhouette_work,style_topic_ratio
scratch-w2v (SIF),0.26370933651924133,0.3200214207172394,0.8240365158313775
scratch-w2v (mean),0.2547135651111603,0.32017239928245544,0.7955512894990442
BanglaBERT (frozen),0.1425822377204895,0.20113778114318848,0.7088784459593211
