tokens,n,generative,discriminative
20,537,0.8063314711359404,0.7337057728119181
40,537,0.8733705772811918,0.8063314711359404
60,537,0.9013035381750466,0.8677839851024208
80,537,0.9236499068901304,0.8770949720670391
120,537,0.9459962756052142,0.8938547486033519
